
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          2 UY          1 UY          3 S   EQV 
                  UY            UY            SEQV    
   676.78       -0.112196E-01 -0.115704E-01  0.176545E+08
   686.78       -0.113179E-01 -0.116730E-01  0.177817E+08
   696.78       -0.114178E-01 -0.117771E-01  0.179151E+08
   706.78       -0.115193E-01 -0.118830E-01  0.180551E+08
   716.78       -0.116227E-01 -0.119907E-01  0.182020E+08
   726.78       -0.117280E-01 -0.121004E-01  0.183564E+08
   736.78       -0.118354E-01 -0.122123E-01  0.185188E+08
   746.78       -0.119450E-01 -0.123265E-01  0.186899E+08
   756.78       -0.120571E-01 -0.124433E-01  0.188704E+08
   766.78       -0.121718E-01 -0.125627E-01  0.190609E+08

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          2 UY          1 UY          3 S   EQV 
                  UY            UY            SEQV    
   776.78       -0.122893E-01 -0.126851E-01  0.192626E+08
   786.78       -0.124100E-01 -0.128107E-01  0.194762E+08
   796.78       -0.125342E-01 -0.129400E-01  0.197196E+08
   806.78       -0.126621E-01 -0.130731E-01  0.199631E+08
   816.78       -0.127941E-01 -0.132104E-01  0.202226E+08
   826.78       -0.129305E-01 -0.133522E-01  0.205001E+08
   836.78       -0.130718E-01 -0.134992E-01  0.207979E+08
   846.78       -0.132185E-01 -0.136517E-01  0.211185E+08
   856.78       -0.133714E-01 -0.138105E-01  0.214652E+08
   866.78       -0.135310E-01 -0.139764E-01  0.218415E+08
   876.78       -0.136983E-01 -0.141501E-01  0.222521E+08
   886.78       -0.138743E-01 -0.143328E-01  0.227027E+08
   896.78       -0.140604E-01 -0.145259E-01  0.232003E+08
   906.78       -0.142583E-01 -0.147311E-01  0.237542E+08
   916.78       -0.144700E-01 -0.149505E-01  0.243768E+08
   926.78       -0.146982E-01 -0.151869E-01  0.250833E+08
   936.78       -0.149464E-01 -0.154439E-01  0.258961E+08
   946.78       -0.152195E-01 -0.157265E-01  0.268470E+08
   951.78       -0.153635E-01 -0.158753E-01  0.273754E+08
   954.28       -0.154375E-01 -0.159518E-01  0.276471E+08

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          2 UY          1 UY          3 S   EQV 
                  UY            UY            SEQV    
   955.53       -0.154742E-01 -0.159897E-01  0.276069E+08
   955.84       -0.154836E-01 -0.159994E-01  0.278210E+08
   955.86       -0.154842E-01 -0.160000E-01  0.276700E+08

