
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          2 UY          1 UY          3 S   EQV 
                  UY            UY            SEQV    
   676.78       -0.121445E-01 -0.125211E-01  0.187532E+08
   686.78       -0.122684E-01 -0.126499E-01  0.189501E+08
   696.78       -0.123949E-01 -0.127814E-01  0.191581E+08
   706.78       -0.125242E-01 -0.129158E-01  0.193781E+08
   716.78       -0.126566E-01 -0.130533E-01  0.196110E+08
   726.78       -0.127924E-01 -0.131944E-01  0.198581E+08
   736.78       -0.129318E-01 -0.133391E-01  0.201209E+08
   746.78       -0.130753E-01 -0.134880E-01  0.204008E+08
   756.78       -0.132230E-01 -0.136414E-01  0.206998E+08
   766.78       -0.133756E-01 -0.137997E-01  0.210199E+08

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          2 UY          1 UY          3 S   EQV 
                  UY            UY            SEQV    
   776.78       -0.135335E-01 -0.139634E-01  0.213637E+08
   786.78       -0.136969E-01 -0.141329E-01  0.217341E+08
   796.78       -0.138671E-01 -0.143092E-01  0.221347E+08
   806.78       -0.140445E-01 -0.144931E-01  0.225698E+08
   816.78       -0.142302E-01 -0.146854E-01  0.230446E+08
   826.78       -0.144252E-01 -0.148872E-01  0.235656E+08
   836.78       -0.146309E-01 -0.151000E-01  0.241405E+08
   846.78       -0.148488E-01 -0.153255E-01  0.247795E+08
   856.78       -0.150799E-01 -0.155644E-01  0.254958E+08
   866.78       -0.153282E-01 -0.158209E-01  0.263070E+08
   871.78       -0.154572E-01 -0.159541E-01  0.267473E+08
   873.03       -0.154895E-01 -0.159874E-01  0.267699E+08
   873.34       -0.154976E-01 -0.159958E-01  0.268860E+08
   873.50       -0.155017E-01 -0.159999E-01  0.268026E+08
   873.50       -0.155017E-01 -0.160000E-01  0.269042E+08
   873.50       -0.155017E-01 -0.160000E-01  0.269043E+08
   873.50       -0.155017E-01 -0.160000E-01  0.269044E+08
   873.50       -0.155017E-01 -0.160000E-01  0.269044E+08
   873.50       -0.155017E-01 -0.160000E-01  0.269044E+08
   873.50       -0.155017E-01 -0.160000E-01  0.269044E+08

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          2 UY          1 UY          3 S   EQV 
                  UY            UY            SEQV    
   873.50       -0.155017E-01 -0.160000E-01  0.269044E+08
   873.50       -0.155017E-01 -0.160000E-01  0.269044E+08
   873.50       -0.155017E-01 -0.160000E-01  0.269044E+08
   873.50       -0.155017E-01 -0.160000E-01  0.269044E+08
   950.00       -0.155017E-01 -0.160000E-01
